"Timestamp","What is your age?","Gender","Place of origin","Have you ever taken a tour of Baguio before?","What type of transportation did you use to arrive in Baguio City?","In which month did you have your last visit/outing in Baguio?","How many days did this visit/outing last?","Who accompanied you during these visits? ","How did you travel around the city during your visit?","If you used public transportation, which did you use the most?","Which tourist spot/s have you visited in your last trip/outing to Baguio City?","If you were to recommend to a friend three tourist spots in Baguio City, what would they be?","How important is location when choosing a tourist spot to visit?","How important is accessibility (e.g. ease of getting to the spot) when choosing a tourist spot to visit?","How important is cost (e.g. entrance fees, transportation, etc.) when choosing a tourist spot to visit?","How important is safety when choosing a tourist spot to visit?","How important is cultural significance when choosing a tourist spot to visit?","Have any of the following factors caused you to not visit a tourist spot in Baguio City? (select all that apply)"
"2023/04/07 2:27:40 PM GMT+8","18 to 24 years old","Male","Region I (Ilocos Region)","No","","","","","","","","","5","5","5","5","3","Accessibility;Cost;Lack of interest"
"2023/04/07 4:43:24 PM GMT+8","18 to 24 years old","Male","CAR (Cordillera Administrative Region)","No","","","","","","","","","4","5","3","5","4","Accessibility;Lack of interest"
"2023/04/07 8:22:18 PM GMT+8","18 to 24 years old","Female","Ilocos Sur","Yes","Private vehicle","December","3","Family and /or relatives","Private Vehicle","Taxi","Burnham Park;Camp John Hay;Baguio Cathedral;SM Baguio;Baguio Night Market","Camp John Hay;BenCab Museum;Baguio Night Market","5","5","5","5","5","Safety"
"2023/04/07 8:31:11 PM GMT+8","18 to 24 years old","Male","Ilocos Sur","Yes","Bus","January","A month ","Friends or colleagues","Public Transportation","Taxi","Burnham Park;Mines View;Wright Park;The Mansion;Camp John Hay;Mirador Hill;Eco park;Diplomat Hotel;Sky Ranch Baguio;Baguio Cathedral;Botanical Garden;SM Baguio;Baguio Night Market;Good Shepherd Convent","Mines View;Baguio Cathedral;Baguio Night Market","5","5","5","5","5","None"
"2023/04/07 8:31:18 PM GMT+8","18 to 24 years old","Male","Region III (Central Luzon)","No","","","","","","","","","5","5","5","5","4","Cost"
"2023/04/07 8:48:06 PM GMT+8","18 to 24 years old","Female","Region III (Central Luzon)","Yes","Private vehicle","August","2","Family and /or relatives","Private Vehicle","","Burnham Park;Mines View;The Mansion;Sky Ranch Baguio;SM Baguio;Baguio Night Market","Burnham Park;Mines View;Baguio Night Market","5","5","3","5","4","Accessibility"
"2023/04/07 10:01:55 PM GMT+8","25 to 34 years old","Male","Region III (Central Luzon)","Yes","Bus","November","2","Family and /or relatives","Public Transportation","Taxi","Burnham Park;Botanical Garden;SM Baguio;Baguio Night Market","Burnham Park;Camp John Hay;Botanical Garden","4","4","3","5","3","Lack of interest"
"2023/04/07 10:12:11 PM GMT+8","18 to 24 years old","Male","Region III (Central Luzon)","Yes","Bus","April","2","Family and /or relatives","Public Transportation","Taxi","Burnham Park;Camp John Hay;Sky Ranch Baguio;Baguio Cathedral;SM Baguio;Baguio Night Market","Burnham Park;Botanical Garden;Baguio Night Market","5","5","5","5","4","Lack of interest"
"2023/04/07 11:26:49 PM GMT+8","18 to 24 years old","Male","Region I (Ilocos Region)","No","","","","","","","","","5","5","5","3","2","Cost"
"2023/04/08 10:28:59 AM GMT+8","18 to 24 years old","Male","CAR (Cordillera Administrative Region)","Yes","Private vehicle","April","3","Family and /or relatives","Private Vehicle","Taxi","Burnham Park;Mines View;Wright Park;The Mansion;Camp John Hay;Mirador Hill;Eco park;Igorot Stone Kingdom;Diplomat Hotel;Baguio Cathedral;Botanical Garden;SM Baguio;Baguio Night Market","Burnham Park;Eco Park;SM Baguio","5","5","5","5","5","Location;Accessibility;Cost;Safety;Lack of interest"
"2023/04/08 10:33:23 AM GMT+8","18 to 24 years old","Male","CAR (Cordillera Administrative Region)","Yes","None. I live here.","January","Everyday ","Family and /or relatives","Private Vehicle","","Burnham Park;Mines View;Wright Park;The Mansion;Camp John Hay;BenCab Musem;Diplomat Hotel;Bell House;Sky Ranch Baguio;Baguio Cathedral;Botanical Garden;SM Baguio;Baguio Night Market","Camp John Hay;Diplomat Hotel;Baguio Night Market","4","5","4","4","5","Time"
"2023/04/08 10:36:09 AM GMT+8","18 to 24 years old","Female","CAR (Cordillera Administrative Region)","Yes","None. I live here.","January","2","Family and /or relatives","Walking","Taxi","Burnham Park;Mines View;Wright Park;The Mansion;Camp John Hay;BenCab Musem;Tam-Awan Village;Bell House;Sky Ranch Baguio;Baguio Cathedral;SM Baguio;Baguio Night Market;Good Shepherd Convent","BenCab Museum;Tam-Awan Village;Ongasan, great wall","5","4","4","5","5","Lack of interest"
"2023/04/08 10:42:16 AM GMT+8","18 to 24 years old","Male","Region II (Cagayan Valley)","No","","","","","","","","","4","4","4","5","4","Lack of interest"
"2023/04/08 12:44:47 PM GMT+8","18 to 24 years old","Male","Ilocos Sur","Yes","Van","May","3","Family and /or relatives","Private Vehicle","","Burnham Park;Mines View;The Mansion;Camp John Hay;Mirador Hill;Eco park;Igorot Stone Kingdom;Sky Ranch Baguio;Baguio Cathedral;Botanical Garden;SM Baguio;Baguio Night Market","Mines View;Mirador Hill;Igorot Stone Kingdom","5","5","5","5","4","Location"
"2023/04/08 12:52:43 PM GMT+8","18 to 24 years old","Male","Region III (Central Luzon)","Yes","Van","December","3","Family and /or relatives","Private Vehicle","","Burnham Park;Mines View;Camp John Hay;Botanical Garden;SM Baguio;Baguio Night Market","Camp John Hay;BenCab Museum;Botanical Garden","5","5","4","5","4","Cost;Lack of interest"
"2023/04/08 1:22:55 PM GMT+8","18 to 24 years old","Female","Region II (Cagayan Valley)","Yes","Private vehicle","October","3","No one","Private Vehicle","Jeepney","Burnham Park;Mines View;Igorot Stone Kingdom;Baguio Cathedral;Botanical Garden;SM Baguio;Baguio Night Market;Good Shepherd Convent","Burnham Park;BenCab Museum;Sky Ranch Baguio","5","5","5","5","5","Location;Accessibility;Cost"
"2023/04/08 1:25:47 PM GMT+8","18 to 24 years old","Male","CAR (Cordillera Administrative Region)","Yes","Van","February","2","Friends or colleagues","Private Vehicle","Jeepney","Burnham Park;Mines View;The Mansion;Mirador Hill;Eco park;Baguio Museum;Baguio Cathedral;Botanical Garden;SM Baguio;Baguio Night Market","Burnham Park;Igorot Stone Kingdom;Sky Ranch Baguio","5","5","3","5","5","Location;Lack of interest"
"2023/04/08 1:31:03 PM GMT+8","18 to 24 years old","Male","Region III (Central Luzon)","Yes","Private vehicle","February","3","Co-workers","Walking","","Burnham Park;Mines View;The Mansion;Baguio Cathedral;Botanical Garden;SM Baguio;Baguio Night Market;Good Shepherd Convent","Burnham Park;Mines View;Good Shepherd Convent","5","5","5","5","5","Lack of interest"
"2023/04/08 1:44:11 PM GMT+8","25 to 34 years old","Female","Region II (Cagayan Valley)","Yes","Private vehicle","April","1","Family and /or relatives","Private Vehicle","","Burnham Park;Mines View;Wright Park;The Mansion","Burnham Park;Mines View;Wright Park","5","5","5","5","5","Cost"
"2023/04/08 1:45:02 PM GMT+8","18 to 24 years old","Female","Region II (Cagayan Valley)","No","","","","","","","","","4","5","5","5","4","Location;Accessibility;Lack of interest"
"2023/04/08 1:46:06 PM GMT+8","18 to 24 years old","Female","CAR (Cordillera Administrative Region)","Yes","Bus","March","1","Friends or colleagues","Public Transportation","Jeepney","Burnham Park;Baguio Cathedral;SM Baguio","The Mansion;Camp John Hay;Baguio Night Market","5","5","5","5","4","Lack of interest"
