"Timestamp","What is your age?","Gender","Place of origin","Have you ever taken a tour of Baguio before?","What type of transportation did you use to arrive in Baguio City?","In which month did you have your last visit/outing in Baguio?","How many days did this visit/outing last?","Who accompanied you during these visits? ","How did you travel around the city during your visit?","If you used public transportation, which did you use the most?","Which tourist spot/s have you visited in your last trip/outing to Baguio City?","If you were to recommend to a friend three tourist spots in Baguio City, what would they be?","How important is location when choosing a tourist spot to visit?","How important is accessibility (e.g. ease of getting to the spot) when choosing a tourist spot to visit?","How important is cost (e.g. entrance fees, transportation, etc.) when choosing a tourist spot to visit?","How important is safety when choosing a tourist spot to visit?","How important is cultural significance when choosing a tourist spot to visit?","Have any of the following factors caused you to not visit a tourist spot in Baguio City? (select all that apply)"
"2023/04/11 8:09:02 PM GMT+8","18 to 24 years old","Female","Region II (Cagayan Valley)","Yes","Motorcycle","December","4","Friends or colleagues","Private Vehicle","","Burnham Park;Mines View;Wright Park;The Mansion;Camp John Hay;Igorot Stone Kingdom;Diplomat Hotel;SM Baguio","Burnham Park;Camp John Hay;Igorot Stone Kingdom","5","5","3","5","5","Location;Accessibility;Cost;Safety;Lack of interest"
"2023/04/11 8:21:59 PM GMT+8","18 to 24 years old","Prefer not to say","Region I (Ilocos Region)","Yes","Bus","January","2","Family and /or relatives","Walking","Jeepney","Burnham Park;Mines View;The Mansion;Tam-Awan Village;Botanical Garden;SM Baguio","Diplomat Hotel;Sky Ranch Baguio;SM Baguio","4","4","4","4","3","Location;Accessibility"
"2023/04/11 9:20:03 PM GMT+8","18 to 24 years old","Female","Region VI (Western Visayas)","Yes","Private vehicle","December","15","Family and /or relatives","Private Vehicle","","SM Baguio","Baguio Museum;SM Baguio;Baguio Night Market","4","3","3","3","3","Location;Cost"
"2023/04/12 6:11:43 AM GMT+8","18 to 24 years old","Male","Region I (Ilocos Region)","No","","","","","","","","","5","5","5","5","3","Location;Accessibility;Cost"
"2023/04/12 10:05:42 AM GMT+8","18 to 24 years old","Male","CAR (Cordillera Administrative Region)","Yes","Bus","April","5","Friends or colleagues","Public Transportation","Jeepney","Burnham Park;Mines View;Wright Park;Tam-Awan Village;SM Baguio;Baguio Night Market","Camp John Hay;BenCab Museum;Igorot Stone Kingdom","5","4","4","5","3","Accessibility;Safety;Lack of interest"
"2023/04/13 10:43:24 AM GMT+8","18 to 24 years old","Male","CAR (Cordillera Administrative Region)","No","","","","","","","","","4","5","5","4","2","Cost"
"2023/04/13 10:43:47 AM GMT+8","18 to 24 years old","Male","Region I (Ilocos Region)","Yes","Private vehicle","April","3","Family and /or relatives","Private Vehicle","Taxi","Burnham Park;Mines View;Camp John Hay;Tam-Awan Village;Eco park;Sky Ranch Baguio;Baguio Cathedral;SM Baguio;Baguio Night Market","Burnham Park;Camp John Hay;Baguio Night Market","5","5","5","5","5","Cost;Safety;Lack of interest"
"2023/04/13 10:45:37 AM GMT+8","18 to 24 years old","Male","Region I (Ilocos Region)","Yes","Private vehicle","March","1","Family and /or relatives","Private Vehicle","Jeepney","Sky Ranch Baguio;SM Baguio","Burnham Park;Mines View;Baguio Night Market","5","5","5","5","5","Cost;Safety"
"2023/04/13 10:45:45 AM GMT+8","18 to 24 years old","Male","Region I (Ilocos Region)","Yes","Private vehicle","December","3","Family and /or relatives","Private Vehicle","Taxi","Burnham Park;Mines View;Camp John Hay;Tam-Awan Village;Sky Ranch Baguio;Baguio Cathedral;SM Baguio;Baguio Night Market","Burnham Park;Tam-Awan Village;SM Baguio","5","5","5","5","5","Location;Accessibility;Cost;Safety;Lack of interest"
"2023/04/13 10:48:10 AM GMT+8","18 to 24 years old","Male","Region I (Ilocos Region)","Yes","Private vehicle","January","4","Family and /or relatives","Private Vehicle","Taxi","Burnham Park;Wright Park;The Mansion;Camp John Hay;Sky Ranch Baguio;Baguio Museum;Baguio Cathedral;SM Baguio;Baguio Night Market","Camp John Hay;SM Baguio;Baguio Night Market","5","5","5","5","5","Location;Accessibility;Cost;Safety;Lack of interest"
"2023/04/13 10:49:13 AM GMT+8","18 to 24 years old","Male","Region I (Ilocos Region)","Yes","Private vehicle","April","4","Family and /or relatives","Private Vehicle","Taxi","Burnham Park;Mines View;Camp John Hay;Tam-Awan Village;Sky Ranch Baguio;SM Baguio","Burnham Park;Mines View;Camp John Hay","5","5","5","5","5","Location;Accessibility;Cost;Safety;Lack of interest"
"2023/04/13 10:51:01 AM GMT+8","18 to 24 years old","Male","Region I (Ilocos Region)","Yes","Bus","October","4","Family and /or relatives","Public Transportation","Bus","Burnham Park;Mines View;Eco park;Baguio Cathedral;SM Baguio;Baguio Night Market","Burnham Park;Eco Park;Baguio Night Market","5","5","5","5","5","Location;Accessibility;Cost;Safety;Lack of interest"
"2023/04/13 10:52:11 AM GMT+8","18 to 24 years old","Male","Region I (Ilocos Region)","Yes","Private vehicle","February","3","Family and /or relatives","Private Vehicle","Taxi","Burnham Park;Camp John Hay;Tam-Awan Village;Sky Ranch Baguio;Baguio Cathedral;SM Baguio;Baguio Night Market","Burnham Park;Tam-Awan Village;Baguio Night Market","5","5","5","5","5","Location;Accessibility;Cost;Safety;Lack of interest"
"2023/04/13 10:53:11 AM GMT+8","18 to 24 years old","Male","Region I (Ilocos Region)","Yes","Private vehicle","April","4","Family and /or relatives","Private Vehicle","Taxi","Burnham Park;Mines View;Wright Park;The Mansion;Igorot Stone Kingdom;Diplomat Hotel;Sky Ranch Baguio;Baguio Museum;SM Baguio;Baguio Night Market","Burnham Park;Diplomat Hotel;Baguio Night Market","5","5","5","5","5","Location;Accessibility;Cost;Safety;Lack of interest"
"2023/04/13 10:55:14 AM GMT+8","18 to 24 years old","Male","Region I (Ilocos Region)","Yes","Private vehicle","March","3","Family and /or relatives","Public Transportation","Taxi","Burnham Park;Mines View;Wright Park;The Mansion;Camp John Hay;BenCab Musem;Tam-Awan Village","Burnham Park;Mines View;Wright Park","5","5","5","5","5","Location;Accessibility;Cost;Safety;Lack of interest"
"2023/04/13 10:57:39 AM GMT+8","18 to 24 years old","Male","CAR (Cordillera Administrative Region)","Yes","Van","December","2","Family and /or relatives","Public Transportation","Jeepney","Burnham Park;Mines View;Wright Park;The Mansion;Camp John Hay;BenCab Musem;Tam-Awan Village;Mirador Hill;Eco park;Igorot Stone Kingdom;Diplomat Hotel;Yellow Trail;Bell House;Sky Ranch Baguio;Baguio Museum;Baguio Cathedral;Botanical Garden;SM Baguio;Baguio Night Market;Good Shepherd Convent","Burnham Park;Mines View;Wright Park","3","3","3","3","3","Cost"
"2023/04/13 10:58:46 AM GMT+8","18 to 24 years old","Female","Region I (Ilocos Region)","Yes","Van","March","1","Family and /or relatives","Private Vehicle","","Burnham Park;Sky Ranch Baguio;Baguio Night Market","Burnham Park;SM Baguio;Baguio Night Market","5","5","5","5","5","Parking "
"2023/04/13 10:58:49 AM GMT+8","18 to 24 years old","Female","Region III (Central Luzon)","Yes","Private vehicle","January","2","Family and /or relatives","Private Vehicle","Taxi","Burnham Park;Wright Park;The Mansion;Camp John Hay;Sky Ranch Baguio;SM Baguio;Baguio Night Market;Good Shepherd Convent","Camp John Hay;Botanical Garden;Baguio Night Market","5","5","4","5","5","Location;Accessibility"
"2023/04/13 11:00:22 AM GMT+8","18 to 24 years old","Male","Region IV-A (CALABARZON)","No","","","","","","","","","5","5","5","5","5","Cost"
"2023/04/13 11:09:16 AM GMT+8","18 to 24 years old","Female","Region I (Ilocos Region)","Yes","Bus","March","2","Friends or colleagues","Walking","Jeepney","Baguio Cathedral;SM Baguio","Camp John Hay;Baguio Museum;Baguio Night Market","4","5","5","5","3","Safety"
"2023/04/13 11:19:47 AM GMT+8","18 to 24 years old","Male","CAR (Cordillera Administrative Region)","Yes","Private vehicle","August","4","Family and /or relatives","Private Vehicle","Jeepney","Burnham Park;Mines View;Baguio Cathedral;SM Baguio","Burnham Park;Baguio Cathedral;Baguio Night Market","5","5","5","5","5","Cost"
"2023/04/13 11:24:31 AM GMT+8","18 to 24 years old","Male","CAR (Cordillera Administrative Region)","Yes","Motorcycle","May","5","Friends or colleagues","Private Vehicle","motorcycle","Burnham Park;Mines View;Wright Park;The Mansion;Camp John Hay;Igorot Stone Kingdom;Diplomat Hotel;Sky Ranch Baguio;Baguio Museum;Baguio Cathedral;Botanical Garden;SM Baguio;Baguio Night Market","Botanical Garden;SM Baguio;Baguio Night Market","5","4","4","5","3","Lack of interest"
"2023/04/13 1:42:28 PM GMT+8","18 to 24 years old","Female","CAR (Cordillera Administrative Region)","Yes","Private vehicle","April","5","Family and /or relatives","Public Transportation","Jeepney","Burnham Park;Mines View;Camp John Hay;Mirador Hill;SM Baguio;Baguio Night Market;Good Shepherd Convent","Camp John Hay;Mirador Hill;Botanical Garden","5","5","5","5","4","Location;Accessibility;Cost"
"2023/04/13 1:46:11 PM GMT+8","18 to 24 years old","Female","CAR (Cordillera Administrative Region)","Yes","Private vehicle","December","2","Family and /or relatives","Private Vehicle","","Burnham Park;The Mansion;Botanical Garden;SM Baguio;Baguio Night Market","Burnham Park;Botanical Garden;Baguio Night Market","5","5","5","5","4","Location;Accessibility;Cost;Lack of interest"
"2023/04/13 1:48:26 PM GMT+8","18 to 24 years old","Male","CAR (Cordillera Administrative Region)","Yes","Private vehicle","April","4","Friends or colleagues","Public Transportation","Jeepney","Burnham Park;Mines View;Wright Park;Camp John Hay;Tam-Awan Village;Diplomat Hotel;Yellow Trail;Baguio Cathedral;SM Baguio;Baguio Night Market;Good Shepherd Convent","Camp John Hay;Mirador Hill;Baguio Night Market","5","4","5","5","5","Accessibility;Lack of interest"
"2023/04/13 1:52:06 PM GMT+8","18 to 24 years old","Male","CAR (Cordillera Administrative Region)","Yes","Van","September","2","Friends or colleagues","Private Vehicle","Taxi","Burnham Park;SM Baguio;Baguio Night Market","Burnham Park;Igorot Stone Kingdom;Baguio Night Market","5","5","4","5","1","Cost"
"2023/04/13 1:53:27 PM GMT+8","18 to 24 years old","Female","CAR (Cordillera Administrative Region)","Yes","Private vehicle","April","5","Family and /or relatives","Public Transportation","Jeepney","Burnham Park;Mines View;SM Baguio;Baguio Night Market","Mines View;SM Baguio;Baguio Night Market","5","5","5","5","5","Cost"
"2023/04/13 2:20:21 PM GMT+8","18 to 24 years old","Male","Region II (Cagayan Valley)","Yes","Van","January","2","Friends or colleagues","Public Transportation","Jeepney","Burnham Park;SM Baguio;Baguio Night Market","Burnham Park;Camp John Hay;Baguio Night Market","5","4","5","5","5","Not having a private vehicle "
"2023/04/13 2:21:06 PM GMT+8","35 to 44 years old","Female","CAR (Cordillera Administrative Region)","Yes","Van","April","14","Family and /or relatives","Public Transportation","All of the above","Burnham Park;Mines View;Wright Park;The Mansion;Camp John Hay;BenCab Musem;Tam-Awan Village;Mirador Hill;Eco park;Igorot Stone Kingdom;Diplomat Hotel;Yellow Trail;Bell House;Sky Ranch Baguio;Baguio Museum;Baguio Cathedral;Botanical Garden;SM Baguio;Baguio Night Market;Good Shepherd Convent","Burnham Park;Camp John Hay;Botanical Garden","5","5","5","5","5","Lack of interest"
"2023/04/13 2:41:16 PM GMT+8","18 to 24 years old","Female","Region II (Cagayan Valley)","Yes","Private vehicle","August","1 week","Family and /or relatives","Private Vehicle","Jeepney","Burnham Park;Mines View;Wright Park;The Mansion;Camp John Hay;Botanical Garden;SM Baguio;Baguio Night Market;Good Shepherd Convent","Burnham Park;The Mansion;Botanical Garden","5","5","5","5","5","Lack of interest"
"2023/04/13 2:45:03 PM GMT+8","18 to 24 years old","Female","Region II (Cagayan Valley)","Yes","Van","March","3","Friends or colleagues","Public Transportation","Jeepney","Burnham Park;Wright Park;The Mansion;Camp John Hay;Igorot Stone Kingdom;Bell House;SM Baguio;Baguio Night Market;Good Shepherd Convent","Camp John Hay;Bell House;Baguio Night Market","4","4","4","5","4","Accessibility;Lack of interest"
"2023/04/13 2:46:56 PM GMT+8","18 to 24 years old","Male","CAR (Cordillera Administrative Region)","Yes","Private vehicle","February","2","Friends or colleagues","Private Vehicle","","Burnham Park;Mines View;Camp John Hay;Igorot Stone Kingdom;Diplomat Hotel;Baguio Cathedral;SM Baguio","Burnham Park;Camp John Hay;Baguio Cathedral","5","5","5","5","5","Cost;Lack of interest"
"2023/04/13 3:04:48 PM GMT+8","18 to 24 years old","Male","CAR (Cordillera Administrative Region)","Yes","Van","January","1","Family and /or relatives","Public Transportation","Taxi","Burnham Park;Eco park;SM Baguio;Baguio Night Market","Burnham Park;Eco Park;Igorot Stone Kingdom","4","5","3","5","5","Accessibility"
"2023/04/13 3:51:26 PM GMT+8","18 to 24 years old","Male","Region II (Cagayan Valley)","Yes","Bus","April","4","Family and /or relatives","Public Transportation","Jeepney","Burnham Park;Baguio Cathedral","Burnham Park;Tam-Awan Village;Baguio Cathedral","5","4","3","4","4","Location"
"2023/04/13 4:45:37 PM GMT+8","18 to 24 years old","Female","CAR (Cordillera Administrative Region)","Yes","Van","January","3","Family and /or relatives","Walking","","Burnham Park;Mines View;Wright Park;The Mansion;Camp John Hay;Eco park;Igorot Stone Kingdom;Diplomat Hotel;Sky Ranch Baguio;Baguio Museum;Baguio Cathedral;Botanical Garden;SM Baguio;Baguio Night Market;Good Shepherd Convent","Sky Ranch Baguio;Baguio Cathedral;Baguio Night Market","4","5","4","5","5","Lack of interest"
"2023/04/13 5:16:53 PM GMT+8","18 to 24 years old","Male","Region II (Cagayan Valley)","Yes","Private vehicle","September","5","Friends or colleagues","Private Vehicle","Jeepney","Burnham Park;Mines View;Wright Park;The Mansion;Camp John Hay;Botanical Garden;SM Baguio;Baguio Night Market;Good Shepherd Convent","Burnham Park;Sky Ranch Baguio;Baguio Night Market","5","5","5","5","5","Cost"
"2023/04/13 8:35:22 PM GMT+8","18 to 24 years old","Male","Region II (Cagayan Valley)","Yes","Van","December","1","Family and /or relatives","Public Transportation","Jeepney","Burnham Park;Mines View;SM Baguio","Burnham Park;Mines View;Igorot Stone Kingdom","4","5","5","5","5","Cost"
"2023/04/13 10:33:06 PM GMT+8","18 to 24 years old","Female","CAR (Cordillera Administrative Region)","Yes","Van","March","3","Friends or colleagues","Public Transportation","Jeepney","Camp John Hay;SM Baguio;Baguio Night Market","BenCab Museum;Tam-Awan Village;Baguio Night Market","5","5","5","5","5","traffic"
